what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349638204389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349638207525
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1349638207868
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1349638208020
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1349638208196
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1349638212810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349638213761
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1349638216539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1349638218092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349638220217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638236806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638236891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638243981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638244075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638259509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638259619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349638271856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638284237
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349638296692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638296696
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349638296711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638300044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638394142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638416533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638514157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349638526464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349638541653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349638550967
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349638552347
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1349638554129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349638564906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349638566161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349638570228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349638593479
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349638595503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638601858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638770475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349638784530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639041394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639072113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639266312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1349639272481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349639274704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349639277962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349639280090
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1349639282315
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1349639282931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349639284474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639288726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639416407
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349639416427
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1349639417475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639428670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639433591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349639436277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349639438081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639468772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639474722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639478109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639674599
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349639674630
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349639674893
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349639676237
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349639679641
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1349639679641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639691690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639693383
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349639712547
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1349639714569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349639723705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639732362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639734600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639752911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639755816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639855041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639933025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639943332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639946206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1349639958539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349639990538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640047507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640053738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640058443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349640059793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640061037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640064288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640120627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349640122972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640123837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640124937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640140339
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349640144353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349640152058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640153187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640155816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640155910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640158680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640158781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640159779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640164584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640207602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349640211880
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1349640213374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1349640213967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640220207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640220422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640221434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1349640225867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1349640226391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640227188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640232359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640426025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640472957
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640475967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640485807
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1349640487707
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1349640489419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349640490206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640491496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640494909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640494971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640498182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349640498219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349640499664
