what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1350081206944
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1350081206963
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1350081206963
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1350081207001
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1350081207044
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1350081207072
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1350081207099
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1350081207108
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1350081207114
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1350081207114
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1350081207115
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1350081207119
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1350081207119
os,sysinfo,,,"win32",1350081207121
arch,sysinfo,,,"x86_64",1350081207121
ws,sysinfo,,,"win32",1350081207121
locale,sysinfo,,,"en_US",1350081207121
processors,sysinfo,,,"4",1350081207121
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350081207121
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1350081207121
java.specification.name,sysinfo,,,"Java Platform API Specification",1350081207121
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350081207121
java.specification.version,sysinfo,,,"1.7",1350081207121
java.vendor,sysinfo,,,"Oracle Corporation",1350081207121
java.version,sysinfo,,,"1.7.0_03",1350081207121
java.vm.info,sysinfo,,,"mixed mode",1350081207121
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350081207121
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350081207121
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350081207121
java.vm.specification.version,sysinfo,,,"1.7",1350081207121
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350081207121
java.vm.version,sysinfo,,,"22.1-b02",1350081207121
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1350081207233
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1350081207360
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1350081207413
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1350081207494
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1350081207504
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1350081208012
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1350081208046
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350081208076
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1350081208469
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1350081208929
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1350081209071
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1350081209306
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1350081209387
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1350081209462
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1350081210043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350081210560
